,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1,,2052,0,16,2,87,9,0,0,0,36
1,2,Computer software ,132,0,2,0,14,15,0,0,0,2
2,3,Sales management,1298,1,9,21,94,5,0,0,0,117
3,4,market/marketing,2169,2,47,4,111,7,0,0,0,119
4,5,Sales ,4572,2,52,45,157,1,0,0,0,240
5,6,Computer hardware,40,0,0,4,0,0,0,0,0,0
6,7,Internet development and application,50,0,1,1,18,2,0,0,0,8
7,8,IT-Management,42,0,0,0,8,0,0,0,0,2
8,9,"IT-QM, technical support and more",21,0,1,0,6,0,0,0,0,1
9,10,Communications technology,86,0,0,6,3,0,0,0,0,2
10,11,Electronics/appliances/semiconductor/instrumentation,432,0,0,25,50,12,0,0,0,7
11,12,Finance/auditing/tax,305,0,7,6,84,29,0,0,0,25
12,13,Engineering/machinery/energy,354,1,8,15,36,11,0,0,0,18
13,14,HR,206,0,5,0,41,7,0,0,0,33
14,15,Senior management,17,0,0,0,2,1,0,0,0,4
15,16,Logistics/warehousing,451,16,27,4,12,1,0,0,0,96
16,17,Art/graphics/Animation design,100,0,1,6,27,1,0,0,0,11
17,18,Science & Technology,10,0,0,0,0,2,0,0,0,0
18,19,Legal profession/law,3,0,0,0,2,1,0,0,0,0
19,20,Education,287,0,4,0,30,17,0,0,0,13
20,21,Hospital/medical/care,85,0,0,3,4,4,0,0,0,0
21,22,Counsel/consulting,124,0,1,1,10,1,0,0,0,11
22,23,Transportation service,675,7,3,1,2,0,0,0,0,41
23,24,Construction/infrastructure/gardening,949,0,0,9,115,17,0,0,0,56
24,25,Banking,32,0,0,0,3,0,0,0,0,0
25,26,Office administration/logistics,516,0,17,14,128,4,0,0,0,35
26,27,Customer service and technical support,1001,0,15,13,32,0,0,0,0,38
27,28,Securities/finance/investment,168,0,0,0,6,9,0,0,0,2
28,29,Insurance,181,0,2,0,22,2,0,0,0,6
29,30,Production/operation,687,7,8,7,22,0,0,0,0,17
30,31,QMS/safety/environmental protection,122,2,7,4,29,1,0,0,0,1
31,32,Technical work,1374,22,22,7,2,0,0,0,0,137
32,33,Fashion/textile/furs,100,0,0,0,0,0,0,0,0,5
33,34,Procurement,63,0,1,7,10,0,0,0,0,5
34,35,Trade,26,1,0,0,5,1,0,0,0,1
35,36,Biology/chemicals/pharmaceuticals/medical equipment,161,0,2,4,13,2,4,0,0,4
36,37,Advertising,63,0,0,7,15,8,0,0,0,2
37,38,PRs and news media,8,0,0,0,2,0,0,0,0,1
38,39,"Movies, TV and recreation",2,0,0,0,0,0,0,0,0,1
39,40,Literature/screenwriting/writing,20,0,0,0,4,0,0,0,0,10
40,41,Real property,1349,0,11,0,41,0,0,0,0,30
41,42,Property management,183,0,11,0,6,0,0,0,0,23
42,43,Restaurants & recreation,928,11,10,5,6,0,0,0,0,106
43,44,Hotels/tourism,149,0,8,0,16,0,0,0,0,29
44,45,Beauty and personal care,553,0,0,0,0,0,0,0,0,23
45,46,General merchandise/chains/retail,2966,62,27,16,30,0,0,0,0,41
46,47,Security/housekeeping/other,230,1,1,0,0,0,0,0,0,56
47,48,Graduates,461,0,0,6,17,15,0,0,0,16
48,49,Other,667,6,11,5,42,4,0,0,0,63
