,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1,,1731,0,22,9,78,4,0,0,0,73
1,2,Computer software ,46,0,0,0,7,1,0,0,0,4
2,3,Sales management,1052,0,14,4,117,12,0,0,0,77
3,4,market/marketing,1401,6,15,12,72,23,0,0,0,68
4,5,Sales ,3918,5,43,16,74,2,0,0,0,180
5,6,Computer hardware,12,0,0,0,4,0,0,0,0,2
6,7,Internet development and application,50,0,0,0,13,6,0,0,0,3
7,8,IT-Management,3,0,0,0,3,0,0,0,0,0
8,9,"IT-QM, technical support and more",84,0,0,0,12,2,0,0,0,4
9,10,Communications technology,66,0,2,0,1,1,0,0,0,8
10,11,Electronics/appliances/semiconductor/instrumentation,265,0,1,2,14,5,0,0,0,5
11,12,Finance/auditing/tax,282,0,6,8,100,4,0,0,0,42
12,13,Engineering/machinery/energy,558,1,2,12,37,22,3,0,0,30
13,14,HR,169,0,7,0,48,5,0,0,0,17
14,15,Senior management,20,0,0,0,3,4,0,0,0,2
15,16,Logistics/warehousing,339,6,11,15,13,0,0,0,0,35
16,17,Art/graphics/Animation design,183,0,0,8,50,4,0,0,0,10
17,18,Science & Technology,6,0,0,0,0,3,0,0,0,0
18,19,Legal profession/law,14,0,0,0,0,7,0,0,0,0
19,20,Education,105,0,0,1,6,9,2,0,0,2
20,21,Hospital/medical/care,113,0,1,0,2,0,0,0,0,15
21,22,Counsel/consulting,366,0,5,1,20,3,0,0,0,12
22,23,Transportation service,41,3,1,1,1,0,0,0,0,7
23,24,Construction/infrastructure/gardening,538,2,0,14,58,9,0,0,0,36
24,25,Banking,189,0,11,3,0,0,0,0,0,1
25,26,Office administration/logistics,365,1,16,6,85,13,0,0,0,43
26,27,Customer service and technical support,727,0,9,9,44,3,0,0,0,40
27,28,Securities/finance/investment,148,0,3,0,25,1,0,0,0,3
28,29,Insurance,320,0,8,0,30,2,0,0,0,3
29,30,Production/operation,157,2,0,4,15,1,0,0,0,5
30,31,QMS/safety/environmental protection,55,0,4,4,8,3,0,0,0,2
31,32,Technical work,1550,21,31,8,8,0,0,0,0,73
32,33,Fashion/textile/furs,20,0,0,0,2,0,0,0,0,0
33,34,Procurement,42,0,0,5,12,1,0,0,0,4
34,35,Trade,27,0,1,0,3,3,0,0,0,2
35,36,Biology/chemicals/pharmaceuticals/medical equipment,71,0,0,3,11,0,0,0,0,7
36,37,Advertising,8,0,0,0,4,0,0,0,0,1
37,38,PRs and news media,5,0,0,0,3,1,0,0,0,0
38,39,"Movies, TV and recreation",39,0,1,4,2,3,0,0,0,3
39,40,Literature/screenwriting/writing,39,0,0,0,14,6,0,0,0,2
40,41,Real property,426,0,3,2,5,0,0,0,0,14
41,42,Property management,143,0,5,0,4,0,0,0,0,22
42,43,Restaurants & recreation,606,4,3,0,11,0,0,0,0,61
43,44,Hotels/tourism,239,0,0,0,0,0,0,0,0,30
44,45,Beauty and personal care,23,0,1,0,1,0,0,0,0,1
45,46,General merchandise/chains/retail,240,1,9,12,3,0,0,0,0,19
46,47,Security/housekeeping/other,96,0,1,0,0,0,0,0,0,12
47,48,Graduates,334,0,0,3,23,1,0,0,0,15
48,49,Other,777,5,11,4,35,10,0,0,0,45
