,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1,,4924,1,80,32,301,7,0,0,0,146
1,2,Computer software ,178,0,0,2,19,17,0,0,0,8
2,3,Sales management,6077,2,72,49,523,57,0,0,0,251
3,4,market/marketing,7460,0,68,48,398,46,0,0,0,272
4,5,Sales ,13253,16,128,73,578,17,0,0,0,453
5,6,Computer hardware,73,0,1,0,13,4,0,0,0,2
6,7,Internet development and application,408,0,4,0,73,6,0,0,0,8
7,8,IT-Management,20,0,0,0,8,3,0,0,0,3
8,9,"IT-QM, technical support and more",169,0,1,2,41,30,0,0,0,6
9,10,Communications technology,75,0,0,1,6,2,0,0,0,0
10,11,Electronics/appliances/semiconductor/instrumentation,2696,3,7,11,61,13,0,0,0,95
11,12,Finance/auditing/tax,1330,0,15,14,480,44,0,0,0,113
12,13,Engineering/machinery/energy,1253,2,8,34,95,72,2,0,0,57
13,14,HR,1313,0,35,6,300,39,0,0,0,103
14,15,Senior management,137,0,6,0,47,25,2,0,0,7
15,16,Logistics/warehousing,1752,11,78,57,95,7,0,0,0,156
16,17,Art/graphics/Animation design,751,0,0,15,197,10,0,0,0,43
17,18,Science & Technology,23,0,0,0,4,2,2,0,0,0
18,19,Legal profession/law,25,0,0,0,1,5,0,0,0,8
19,20,Education,398,0,0,1,27,49,0,0,0,9
20,21,Hospital/medical/care,240,2,2,1,27,2,0,0,0,17
21,22,Counsel/consulting,1448,2,26,6,75,1,0,0,0,39
22,23,Transportation service,626,28,21,13,4,0,0,0,0,86
23,24,Translation,19,0,0,0,1,5,0,0,0,0
24,25,Construction/infrastructure/gardening,2726,5,5,48,180,55,0,0,0,116
25,26,Banking,287,0,7,0,13,2,0,0,0,2
26,27,Office administration/logistics,2456,2,56,26,614,52,0,0,0,195
27,28,Customer service and technical support,3011,3,61,45,143,7,0,0,0,110
28,29,Securities/finance/investment,902,0,7,0,33,0,0,0,0,16
29,30,Insurance,1514,0,21,0,63,33,0,0,0,9
30,31,Production/operation,958,40,20,1,96,15,0,0,0,28
31,32,QMS/safety/environmental protection,361,3,12,11,74,13,0,0,0,16
32,33,Technical work,8459,86,88,29,33,0,0,0,0,384
33,34,Procurement,227,0,0,19,67,8,0,0,0,17
34,35,Trade,467,0,5,1,55,12,0,0,0,14
35,36,Biology/chemicals/pharmaceuticals/medical equipment,239,0,0,3,30,10,3,1,0,2
36,37,Advertising,97,0,0,0,14,7,0,0,0,12
37,38,PRs and news media,18,0,0,0,2,1,0,0,0,5
38,39,"Movies, TV and recreation",67,0,0,2,23,2,0,0,0,5
39,40,Literature/screenwriting/writing,66,0,0,0,18,8,0,0,0,4
40,41,Real property,3324,0,23,2,10,4,0,0,0,95
41,42,Property management,1218,6,56,6,52,1,0,0,0,101
42,43,Restaurants & recreation,1882,27,12,8,25,7,0,0,0,190
43,44,Hotels/tourism,779,7,19,8,46,1,0,0,0,71
44,45,Beauty and personal care,818,6,8,7,8,0,0,0,0,80
45,46,General merchandise/chains/retail,966,0,16,22,28,2,0,0,0,55
46,47,Security/housekeeping/other,1017,18,10,2,17,0,0,0,0,48
47,48,Graduates,1012,0,0,11,79,5,0,0,0,25
48,49,Other,4806,70,60,8,260,46,4,3,0,262
