,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1,,2374,2,67,16,64,2,0,0,0,76
1,2,Computer software ,82,0,0,2,6,8,0,0,0,12
2,3,Sales management,1739,0,16,14,175,21,1,0,0,126
3,4,market/marketing,2508,4,23,10,119,50,0,0,0,136
4,5,Sales ,5573,1,66,32,198,12,0,0,0,281
5,6,Computer hardware,67,0,1,0,0,0,0,0,0,11
6,7,Internet development and application,141,0,0,0,38,4,0,0,0,9
7,8,IT-Management,41,0,0,0,20,0,0,0,0,1
8,9,"IT-QM, technical support and more",532,0,0,0,21,1,0,0,0,19
9,10,Communications technology,1227,0,20,12,0,0,0,0,0,5
10,11,Electronics/appliances/semiconductor/instrumentation,141,2,0,0,12,2,0,0,0,11
11,12,Finance/auditing/tax,464,0,1,5,143,5,0,0,0,54
12,13,Engineering/machinery/energy,914,0,4,24,74,35,0,0,0,40
13,14,HR,241,0,8,2,73,11,0,0,0,21
14,15,Senior management,12,0,0,0,2,5,0,0,0,4
15,16,Logistics/warehousing,1530,18,27,19,34,0,0,0,0,44
16,17,Art/graphics/Animation design,384,0,0,8,104,3,0,0,0,18
17,18,Science & Technology,13,0,0,0,0,6,0,0,0,0
18,19,Legal profession/law,30,0,1,0,0,10,0,0,0,0
19,20,Education,378,0,0,0,19,63,0,0,0,0
20,21,Hospital/medical/care,44,0,0,0,5,0,0,0,0,4
21,22,Counsel/consulting,361,0,1,1,21,17,0,0,1,14
22,23,Transportation service,137,4,1,3,2,0,0,0,0,23
23,24,Translation,23,0,0,0,0,2,0,0,0,0
24,25,Construction/infrastructure/gardening,767,0,0,21,88,15,0,0,0,33
25,26,Banking,201,0,1,2,10,1,0,0,0,1
26,27,Office administration/logistics,928,1,7,18,182,10,0,0,0,79
27,28,Customer service and technical support,1593,0,13,10,78,2,0,0,0,38
28,29,Securities/finance/investment,423,0,0,0,61,8,0,0,0,6
29,30,Insurance,241,0,0,0,21,4,0,0,0,5
30,31,Production/operation,473,4,5,3,29,1,0,0,0,12
31,32,QMS/safety/environmental protection,208,0,5,15,21,2,0,0,0,14
32,33,Technical work,2202,31,42,33,3,1,0,0,0,123
33,34,Fashion/textile/furs,36,4,0,0,0,0,0,0,0,4
34,35,Procurement,78,0,0,9,23,1,0,0,0,6
35,36,Trade,48,0,0,0,9,13,0,0,0,0
36,37,Biology/chemicals/pharmaceuticals/medical equipment,102,0,0,0,10,8,4,0,0,3
37,38,Advertising,95,0,0,8,30,3,0,0,0,4
38,39,PRs and news media,6,0,0,0,0,0,0,0,0,1
39,40,"Movies, TV and recreation",38,0,0,1,16,0,0,0,0,1
40,41,Literature/screenwriting/writing,20,0,0,0,10,1,0,0,0,0
41,42,Real property,1794,1,10,0,12,1,0,0,0,53
42,43,Property management,237,0,7,0,4,0,0,0,0,20
43,44,Restaurants & recreation,859,8,3,2,7,0,0,0,0,90
44,45,Hotels/tourism,262,2,1,0,4,0,0,0,0,43
45,46,Beauty and personal care,259,2,2,8,3,0,0,0,0,6
46,47,General merchandise/chains/retail,720,1,33,32,12,0,0,0,0,33
47,48,Security/housekeeping/other,455,5,13,0,0,0,0,0,0,17
48,49,Graduates,508,0,0,3,21,7,0,0,0,26
49,50,Other,1838,14,9,14,63,8,0,0,0,66
