,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1,,3,0,0,0,0,1,0,0,0,0
1,2,Computer software ,318,0,0,0,2,14,0,0,0,26
2,3,Sales management,3694,3,62,9,314,13,0,0,0,185
3,4,market/marketing,3296,1,48,7,205,10,0,0,0,181
4,5,Sales ,10040,7,204,52,389,20,0,0,0,322
5,6,Computer hardware,19,0,0,0,3,0,0,0,0,3
6,7,Internet development and application,209,0,0,0,24,2,0,0,0,43
7,8,IT-Management,16,0,0,0,6,0,0,0,0,0
8,9,"IT-QM, technical support and more",44,0,0,0,17,3,0,0,0,0
9,10,Communications technology,40,0,8,0,0,0,0,0,0,0
10,11,Electronics/appliances/semiconductor/instrumentation,105,0,2,0,23,15,2,0,0,5
11,12,Finance/auditing/tax,333,0,3,5,137,17,0,0,0,31
12,13,Engineering/machinery/energy,296,4,2,7,32,25,0,0,0,16
13,14,HR,479,1,3,0,117,17,0,0,0,39
14,15,Senior management,15,0,0,0,6,0,0,0,0,7
15,16,Logistics/warehousing,303,2,24,12,19,1,0,0,0,30
16,17,Art/graphics/Animation design,349,0,1,12,55,3,0,0,0,42
17,18,Science & Technology,46,0,0,0,2,5,0,0,0,0
18,19,Legal profession/law,34,0,0,0,5,2,0,0,0,10
19,20,Education,368,0,0,0,21,40,3,0,0,6
20,21,Hospital/medical/care,143,0,1,0,12,3,0,0,0,6
21,22,Counsel/consulting,749,2,2,0,64,1,0,0,0,20
22,23,Transportation service,434,29,4,0,2,0,0,0,0,42
23,24,Translation,11,0,0,0,0,0,0,0,0,7
24,25,Construction/infrastructure/gardening,315,1,3,7,31,3,0,0,0,17
25,26,Office administration/logistics,1236,2,24,16,240,27,0,0,0,138
26,27,Customer service and technical support,1230,1,18,7,94,1,0,0,0,56
27,28,Securities/finance/investment,731,0,0,6,18,1,0,0,0,28
28,29,Insurance,267,0,0,0,3,0,0,0,0,13
29,30,Production/operation,89,1,4,6,13,2,0,0,0,9
30,31,QMS/safety/environmental protection,45,0,1,0,7,3,0,0,0,10
31,32,Technical work,827,40,36,5,17,0,0,0,0,77
32,33,Procurement,38,0,0,1,15,0,0,0,0,10
33,34,Trade,27,0,0,0,4,1,0,0,0,3
34,35,Biology/chemicals/pharmaceuticals/medical equipment,334,0,4,0,16,0,0,0,0,10
35,36,Advertising,16,0,0,1,2,0,0,0,0,0
36,37,PRs and news media,11,0,0,0,2,1,0,0,0,2
37,38,"Movies, TV and recreation",8,0,2,0,0,2,0,0,0,2
38,39,Literature/screenwriting/writing,40,0,0,0,6,1,0,0,0,3
39,40,Real property,429,0,6,0,9,0,0,0,0,18
40,41,Property management,326,0,0,36,12,0,0,0,0,15
41,42,Restaurants & recreation,2978,0,1,0,16,0,0,0,0,134
42,43,Hotels/tourism,39,0,0,0,7,0,0,0,0,6
43,44,Beauty and personal care,179,2,2,2,3,0,0,0,0,12
44,45,General merchandise/chains/retail,233,0,3,0,11,0,0,0,0,21
45,46,Security/housekeeping/other,102,0,0,3,1,0,0,0,0,16
46,47,Graduates,600,0,0,3,29,15,0,0,0,15
47,48,Other,789,2,13,6,68,11,0,0,0,69
