,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1.0,,576.0,0.0,0.0,6.0,26.0,2.0,0.0,0.0,0.0,44.0
1,2.0,Computer software ,47.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0
2,3.0,Sales management,521.0,0.0,6.0,10.0,51.0,4.0,0.0,0.0,0.0,23.0
3,4.0,market/marketing,843.0,0.0,8.0,4.0,43.0,4.0,0.0,0.0,0.0,49.0
4,5.0,Sales ,2023.0,0.0,28.0,21.0,70.0,0.0,0.0,0.0,0.0,73.0
5,6.0,Computer hardware,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,7.0,Internet development and application,142.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,22.0
7,8.0,"IT-QM, technical support and more",5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
8,9.0,Communications technology,30.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
9,10.0,Electronics/appliances/semiconductor/instrumentation,192.0,0.0,11.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
10,11.0,Finance/auditing/tax,120.0,0.0,0.0,5.0,43.0,9.0,0.0,0.0,0.0,18.0
11,12.0,Engineering/machinery/energy,300.0,2.0,5.0,0.0,18.0,8.0,0.0,0.0,0.0,23.0
12,13.0,HR,125.0,4.0,1.0,0.0,35.0,6.0,0.0,0.0,0.0,3.0
13,14.0,Senior management,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0
14,15.0,Logistics/warehousing,167.0,4.0,4.0,8.0,10.0,2.0,0.0,0.0,0.0,16.0
15,16.0,Art/graphics/Animation design,169.0,0.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0,13.0
16,17.0,Science & Technology,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
17,18.0,Legal profession/law,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18,19.0,Education,19.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
19,20.0,Hospital/medical/care,12.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
20,21.0,Counsel/consulting,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,22.0,Transportation service,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
22,23.0,Construction/infrastructure/gardening,199.0,0.0,0.0,5.0,15.0,4.0,0.0,0.0,0.0,1.0
23,24.0,Office administration/logistics,356.0,1.0,8.0,2.0,35.0,1.0,0.0,0.0,0.0,42.0
24,25.0,Customer service and technical support,170.0,0.0,10.0,6.0,9.0,0.0,0.0,0.0,0.0,8.0
25,26.0,Securities/finance/investment,126.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
26,27.0,Production/operation,142.0,2.0,5.0,7.0,16.0,0.0,0.0,0.0,0.0,5.0
27,28.0,QMS/safety/environmental protection,79.0,0.0,0.0,5.0,6.0,3.0,0.0,0.0,0.0,11.0
28,29.0,Technical work,744.0,7.0,7.0,15.0,3.0,0.0,0.0,0.0,0.0,68.0
29,30.0,Fashion/textile/furs,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,31.0,Procurement,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
31,32.0,Biology/chemicals/pharmaceuticals/medical equipment,69.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,24.0
32,33.0,Advertising,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
33,34.0,PRs and news media,21.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
34,35.0,Literature/screenwriting/writing,38.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0
35,36.0,Real property,152.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0
36,37.0,Property management,26.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
37,38.0,Restaurants & recreation,429.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
38,39.0,Hotels/tourism,26.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
39,40.0,Beauty and personal care,24.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,41.0,General merchandise/chains/retail,415.0,0.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,15.0
41,42.0,Security/housekeeping/other,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
42,43.0,Graduates,188.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,2.0
43,44.0,Other,553.0,0.0,5.0,6.0,51.0,11.0,0.0,0.0,0.0,29.0
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
