,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1,,114,0,5,1,12,1,0,0,0,0
1,2,Computer software ,250,0,0,0,0,3,0,0,0,27
2,3,Sales management,2416,0,62,10,209,29,0,0,0,124
3,4,market/marketing,2024,2,41,12,124,29,0,0,0,76
4,5,Sales ,6907,7,161,31,286,6,0,0,0,221
5,6,Computer hardware,37,0,2,0,8,0,0,0,0,2
6,7,Internet development and application,311,0,0,8,44,1,0,0,0,39
7,8,IT-Management,6,0,0,0,2,0,0,0,0,0
8,9,"IT-QM, technical support and more",31,0,0,1,7,4,0,0,0,0
9,10,Communications technology,68,0,6,0,2,0,0,0,0,1
10,11,Electronics/appliances/semiconductor/instrumentation,113,0,0,12,16,5,0,0,0,5
11,12,Finance/auditing/tax,251,0,2,7,98,12,0,0,0,11
12,13,Engineering/machinery/energy,141,0,1,0,27,18,0,0,0,9
13,14,HR,279,0,2,3,97,8,0,0,0,19
14,15,Senior management,56,0,0,0,0,4,0,0,0,10
15,16,Logistics/warehousing,185,2,25,16,17,0,0,0,0,19
16,17,Art/graphics/Animation design,348,0,0,14,42,7,0,0,0,23
17,18,Science & Technology,7,0,0,0,2,0,0,0,0,0
18,19,Legal profession/law,6,0,0,0,0,0,0,0,0,5
19,20,Education,117,0,0,0,13,11,1,0,0,1
20,21,Hospital/medical/care,389,0,1,2,31,10,0,0,0,16
21,22,Counsel/consulting,304,0,7,0,12,1,0,0,0,12
22,23,Transportation service,111,8,8,2,0,0,0,0,0,21
23,24,Construction/infrastructure/gardening,282,4,0,8,28,3,0,0,0,23
24,25,Office administration/logistics,940,2,24,24,174,24,0,0,0,92
25,26,Customer service and technical support,1369,0,26,7,84,4,0,0,0,41
26,27,Securities/finance/investment,477,0,6,9,20,2,0,0,0,7
27,28,Insurance,110,0,2,0,6,0,0,0,0,0
28,29,Production/operation,174,0,4,4,18,3,0,0,0,8
29,30,QMS/safety/environmental protection,132,0,0,6,19,10,0,0,0,6
30,31,Technical work,580,9,4,11,14,4,0,0,0,72
31,32,Fashion/textile/furs,1,0,0,1,0,0,0,0,0,0
32,33,Procurement,51,0,0,2,16,0,0,0,0,7
33,34,Trade,9,0,0,0,0,2,0,0,0,2
34,35,Biology/chemicals/pharmaceuticals/medical equipment,59,1,2,1,11,0,0,0,0,2
35,36,Advertising,34,0,0,0,7,0,0,0,0,5
36,37,PRs and news media,4,0,0,0,2,0,0,0,0,0
37,38,"Movies, TV and recreation",4,0,0,0,0,0,0,0,0,2
38,39,Literature/screenwriting/writing,21,0,0,0,13,0,0,0,0,1
39,40,Real property,1606,0,5,4,1,0,0,0,0,56
40,41,Property management,92,0,0,0,5,0,0,0,0,11
41,42,Restaurants & recreation,495,0,0,3,10,0,0,0,0,67
42,43,Hotels/tourism,16,0,0,0,2,0,0,0,0,6
43,44,Beauty and personal care,78,0,0,1,5,0,0,0,0,2
44,45,General merchandise/chains/retail,291,1,8,11,15,0,0,0,0,17
45,46,Security/housekeeping/other,30,2,0,0,0,0,0,0,0,13
46,47,Graduates,490,0,2,6,17,10,0,0,0,9
47,48,Other,638,4,16,5,39,8,0,0,0,33
