,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1,,398,0,5,4,27,1,0,0,0,16
1,2,Computer software ,224,0,0,2,30,3,0,0,0,0
2,3,Sales management,1196,0,3,10,47,7,0,0,0,52
3,4,market/marketing,445,0,5,12,46,0,0,0,0,27
4,5,Sales ,1445,3,13,14,58,2,0,0,0,60
5,6,Computer hardware,12,0,0,1,0,2,0,0,0,0
6,7,Internet development and application,195,0,0,0,2,4,0,0,0,6
7,8,IT-Management,1,0,0,0,1,0,0,0,0,0
8,9,"IT-QM, technical support and more",1,0,0,0,1,0,0,0,0,0
9,10,Electronics/appliances/semiconductor/instrumentation,167,0,0,3,8,4,0,0,0,16
10,11,Finance/auditing/tax,127,0,0,0,44,6,0,0,0,16
11,12,Engineering/machinery/energy,298,0,5,13,25,3,0,0,0,4
12,13,HR,109,0,3,0,25,9,0,0,0,5
13,14,Senior management,69,0,0,0,2,2,0,0,0,3
14,15,Logistics/warehousing,119,0,14,7,10,0,0,0,0,14
15,16,Art/graphics/Animation design,185,0,0,12,36,2,0,0,0,12
16,17,Science & Technology,28,0,0,0,4,1,0,0,0,2
17,18,Legal profession/law,1,0,0,0,0,1,0,0,0,0
18,19,Education,102,0,1,0,0,14,0,0,0,8
19,20,Hospital/medical/care,91,0,13,0,9,0,0,0,0,1
20,21,Counsel/consulting,54,0,0,1,2,0,0,0,0,3
21,22,Transportation service,79,2,2,0,0,0,0,0,0,14
22,23,Translation,3,0,0,0,0,1,0,0,0,0
23,24,Construction/infrastructure/gardening,222,0,0,3,18,13,0,0,0,4
24,25,Banking,64,0,0,2,7,0,0,0,0,1
25,26,Office administration/logistics,231,0,16,3,31,12,0,0,0,35
26,27,Customer service and technical support,333,0,16,3,23,0,0,0,0,10
27,28,Securities/finance/investment,90,0,0,1,3,2,0,0,0,1
28,29,Insurance,37,0,0,0,11,0,0,0,0,0
29,30,Production/operation,83,2,1,1,13,1,0,0,0,7
30,31,QMS/safety/environmental protection,41,0,3,1,5,2,0,0,0,0
31,32,Technical work,594,14,11,1,2,0,0,0,0,41
32,33,Procurement,12,0,0,0,3,0,0,0,0,2
33,34,Trade,35,0,0,1,3,0,0,0,0,0
34,35,Biology/chemicals/pharmaceuticals/medical equipment,50,0,3,0,13,0,1,0,0,3
35,36,Advertising,1,0,0,0,1,0,0,0,0,0
36,37,PRs and news media,32,0,0,0,3,0,0,0,0,2
37,38,Literature/screenwriting/writing,35,0,0,0,3,4,0,0,0,2
38,39,Real property,646,0,1,0,4,0,0,0,0,14
39,40,Property management,187,0,7,0,1,0,0,0,0,19
40,41,Restaurants & recreation,642,6,1,0,2,0,0,0,0,69
41,42,Hotels/tourism,4,0,0,0,0,0,0,0,0,1
42,43,Beauty and personal care,50,0,0,0,0,0,0,0,0,4
43,44,General merchandise/chains/retail,377,10,7,0,1,0,0,0,0,32
44,45,Security/housekeeping/other,112,0,1,0,0,0,0,0,0,11
45,46,Graduates,38,0,0,0,6,0,0,0,0,0
46,47,Other,248,10,4,5,5,2,0,0,0,19
