,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1,,851,0,16,3,60,3,0,0,0,42
1,2,Computer software ,421,0,0,0,21,32,6,0,0,3
2,3,Sales management,983,0,7,9,79,20,0,0,0,39
3,4,market/marketing,1175,0,9,5,67,50,0,0,0,34
4,5,Sales ,2214,4,24,12,90,37,0,0,0,96
5,6,Computer hardware,50,0,0,0,0,10,1,0,0,1
6,7,Internet development and application,188,0,0,0,10,21,0,1,0,10
7,8,IT-Management,12,0,0,0,1,1,1,0,0,0
8,9,"IT-QM, technical support and more",118,0,0,0,7,8,0,0,0,3
9,10,Communications technology,15,0,0,1,1,3,0,0,0,1
10,11,Electronics/appliances/semiconductor/instrumentation,1480,0,3,5,51,83,22,0,0,17
11,12,Finance/auditing/tax,428,0,4,0,105,44,1,0,0,20
12,13,Engineering/machinery/energy,1921,2,0,18,69,152,10,1,0,25
13,14,HR,275,0,6,1,60,36,1,0,0,16
14,15,Senior management,25,0,0,0,4,1,1,0,0,0
15,16,Logistics/warehousing,224,8,15,10,13,11,0,0,0,24
16,17,Art/graphics/Animation design,287,0,0,12,40,8,8,0,0,12
17,18,Science & Technology,249,0,0,0,1,9,4,2,0,1
18,19,Legal profession/law,37,0,0,0,2,9,2,0,0,9
19,20,Education,985,0,0,0,16,28,67,37,0,0
20,21,Hospital/medical/care,241,0,2,0,4,22,13,4,0,1
21,22,Counsel/consulting,360,0,0,0,29,10,2,0,0,2
22,23,Transportation service,129,3,2,0,1,0,0,0,0,18
23,24,Translation,38,0,0,0,0,11,0,0,0,0
24,25,Construction/infrastructure/gardening,1161,2,1,13,59,31,1,0,0,40
25,26,Banking,67,0,1,1,8,0,0,0,0,0
26,27,Office administration/logistics,446,0,18,5,93,34,3,0,0,41
27,28,Customer service and technical support,589,0,16,5,31,7,0,0,0,13
28,29,Securities/finance/investment,65,0,2,0,0,8,1,0,0,2
29,30,Insurance,229,0,0,0,23,3,0,0,0,3
30,31,Production/operation,401,3,1,0,31,26,2,0,0,19
31,32,QMS/safety/environmental protection,310,0,2,1,28,32,0,0,0,8
32,33,Technical work,830,11,13,5,15,0,0,0,0,56
33,34,Fashion/textile/furs,48,0,0,0,0,5,0,0,0,7
34,35,Procurement,69,0,2,1,12,4,3,0,0,2
35,36,Trade,194,0,0,0,11,16,0,0,0,4
36,37,Biology/chemicals/pharmaceuticals/medical equipment,392,0,0,0,17,35,18,2,0,1
37,38,Advertising,21,0,0,0,7,0,0,0,0,2
38,39,PRs and news media,7,0,0,0,1,0,0,0,0,1
39,40,"Movies, TV and recreation",42,0,2,0,6,3,0,0,0,0
40,41,Literature/screenwriting/writing,3,0,0,0,0,1,0,0,0,1
41,42,Real property,390,0,1,0,3,2,0,0,0,6
42,43,Property management,212,1,8,0,5,0,0,0,0,32
43,44,Restaurants & recreation,481,6,17,0,6,0,0,0,0,38
44,45,Hotels/tourism,71,2,4,2,5,0,0,0,0,4
45,46,Beauty and personal care,260,10,7,0,0,0,0,0,0,0
46,47,General merchandise/chains/retail,337,2,10,0,7,2,0,0,0,22
47,48,Security/housekeeping/other,132,3,0,0,3,0,0,0,0,5
48,49,Graduates,2061,0,0,0,65,69,1,0,0,8
49,50,Other,1872,11,4,2,70,58,26,1,0,59
