,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1,,2338,0,39,2,137,0,0,0,0,120
1,2,Computer software ,211,0,3,0,29,6,0,0,0,7
2,3,Sales management,1048,0,11,4,85,6,0,0,0,78
3,4,market/marketing,1183,2,7,11,96,9,0,0,0,54
4,5,Sales ,3062,2,36,18,139,2,0,0,0,123
5,6,Computer hardware,25,0,1,0,2,2,0,0,0,0
6,7,Internet development and application,64,0,2,0,23,1,0,0,0,2
7,8,IT-Management,4,0,0,0,3,0,0,0,0,1
8,9,"IT-QM, technical support and more",72,0,1,0,13,5,0,0,0,10
9,10,Communications technology,6,0,0,0,1,1,0,0,0,0
10,11,Electronics/appliances/semiconductor/instrumentation,94,0,2,2,17,11,0,0,0,4
11,12,Finance/auditing/tax,351,2,5,7,136,7,0,0,0,31
12,13,Engineering/machinery/energy,506,0,0,18,45,28,0,0,0,23
13,14,HR,361,0,7,1,78,9,0,0,0,31
14,15,Senior management,46,0,4,0,7,15,0,0,0,1
15,16,Logistics/warehousing,562,16,19,12,27,2,0,0,0,28
16,17,Art/graphics/Animation design,427,0,1,19,67,7,0,0,0,29
17,18,Legal profession/law,7,0,0,0,0,2,0,0,0,1
18,19,Education,269,0,0,0,11,14,0,0,0,7
19,20,Hospital/medical/care,54,0,2,0,5,2,0,0,0,6
20,21,Counsel/consulting,519,0,13,0,15,2,0,0,0,3
21,22,Transportation service,82,11,0,0,2,0,0,0,0,16
22,23,Construction/infrastructure/gardening,1058,0,2,15,75,14,0,0,0,7
23,24,Banking,81,0,1,1,9,0,0,0,0,0
24,25,Office administration/logistics,548,1,11,8,159,26,0,0,0,66
25,26,Customer service and technical support,797,0,26,7,62,4,0,0,0,18
26,27,Securities/finance/investment,123,0,1,0,9,10,0,0,0,2
27,28,Insurance,74,0,0,0,13,3,0,0,0,1
28,29,Production/operation,332,4,16,12,24,2,0,0,0,20
29,30,QMS/safety/environmental protection,112,3,9,9,12,3,0,0,0,5
30,31,Technical work,2360,36,35,33,18,0,0,0,0,131
31,32,Procurement,23,0,0,4,7,3,0,0,0,2
32,33,Trade,98,0,0,6,9,4,0,0,0,3
33,34,Biology/chemicals/pharmaceuticals/medical equipment,141,0,0,0,19,14,1,0,0,5
34,35,Advertising,13,0,0,0,1,0,0,0,0,3
35,36,"Movies, TV and recreation",215,0,0,0,0,0,0,0,0,7
36,37,Literature/screenwriting/writing,18,0,0,0,5,1,0,0,0,0
37,38,Real property,1509,2,2,0,6,0,0,0,0,26
38,39,Property management,281,2,10,0,7,0,0,0,0,33
39,40,Restaurants & recreation,1105,5,19,2,9,0,0,0,0,90
40,41,Hotels/tourism,163,1,3,1,12,1,0,0,0,12
41,42,Beauty and personal care,295,1,25,0,2,0,0,0,0,5
42,43,General merchandise/chains/retail,1241,11,42,20,38,1,0,0,0,30
43,44,Security/housekeeping/other,161,0,0,0,0,0,0,0,0,23
44,45,Graduates,658,0,1,0,52,5,0,0,0,18
45,46,Other,968,7,14,19,27,14,0,0,0,44
