,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1,,1753,0,47,0,116,0,0,0,0,38
1,2,Computer software ,275,0,0,0,40,2,0,0,0,1
2,3,Sales management,1036,0,13,4,76,5,0,0,0,43
3,4,market/marketing,494,1,10,1,48,1,0,0,0,27
4,5,Sales ,1793,0,36,18,76,3,0,0,0,78
5,6,Computer hardware,33,0,0,0,8,1,0,0,0,0
6,7,Internet development and application,198,0,0,0,25,3,0,0,0,19
7,8,IT-Management,11,0,0,0,1,1,0,0,0,0
8,9,"IT-QM, technical support and more",376,0,1,1,40,4,0,0,0,18
9,10,Electronics/appliances/semiconductor/instrumentation,4210,0,2,2,11,9,0,0,0,6
10,11,Finance/auditing/tax,282,0,1,8,96,6,0,0,0,22
11,12,Engineering/machinery/energy,60,0,0,2,6,12,0,0,0,2
12,13,HR,312,0,5,0,83,6,0,0,0,16
13,14,Senior management,7,0,0,0,1,4,0,0,0,0
14,15,Logistics/warehousing,149,0,5,5,27,0,0,0,0,14
15,16,Art/graphics/Animation design,190,0,2,0,43,2,0,0,0,2
16,17,Legal profession/law,12,0,0,0,0,2,0,0,0,4
17,18,Education,49,0,0,0,2,2,1,0,0,5
18,19,Hospital/medical/care,59,0,0,0,5,0,0,0,0,11
19,20,Counsel/consulting,543,0,13,0,28,14,0,0,0,3
20,21,Transportation service,29,5,0,0,0,0,0,0,0,7
21,22,Construction/infrastructure/gardening,398,0,1,17,65,6,0,0,0,15
22,23,Office administration/logistics,250,0,2,8,71,6,0,0,0,26
23,24,Customer service and technical support,335,3,16,1,25,0,0,0,0,15
24,25,Securities/finance/investment,181,0,0,2,22,0,0,0,0,6
25,26,Insurance,123,0,7,0,7,2,0,0,0,0
26,27,Production/operation,18,0,0,1,7,2,0,0,0,7
27,28,QMS/safety/environmental protection,28,0,0,0,11,1,0,0,0,0
28,29,Technical work,207,6,4,3,2,0,0,0,0,26
29,30,Procurement,18,0,0,4,5,0,0,0,0,1
30,31,Trade,31,0,0,0,1,2,0,0,0,1
31,32,Biology/chemicals/pharmaceuticals/medical equipment,29,0,0,0,3,1,0,0,0,3
32,33,Advertising,22,0,0,1,2,1,0,0,0,1
33,34,Literature/screenwriting/writing,6,0,0,0,2,2,0,0,0,0
34,35,Real property,978,0,10,0,8,0,0,0,0,17
35,36,Property management,76,0,4,0,2,0,0,0,0,18
36,37,Restaurants & recreation,415,7,4,0,3,0,0,0,0,53
37,38,Hotels/tourism,201,2,10,2,20,0,0,0,0,9
38,39,Beauty and personal care,50,0,0,4,0,0,0,0,0,3
39,40,General merchandise/chains/retail,289,1,5,10,14,0,0,0,0,6
40,41,Security/housekeeping/other,55,0,0,0,0,0,0,0,0,21
41,42,Graduates,702,0,0,0,41,1,0,0,0,9
42,43,Other,186,1,3,9,32,3,0,0,0,17
