,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1,,427,0,1,2,30,0,0,0,0,16
1,2,Computer software ,203,0,0,0,27,2,0,0,0,4
2,3,Sales management,614,0,8,8,54,7,0,0,0,37
3,4,market/marketing,901,0,12,3,42,9,0,0,0,50
4,5,Sales ,1833,1,14,34,82,2,0,0,0,75
5,6,Computer hardware,4,0,0,0,0,1,0,0,0,1
6,7,Internet development and application,112,0,0,0,9,0,0,0,0,5
7,8,IT-Management,6,0,0,0,2,2,0,0,0,1
8,9,"IT-QM, technical support and more",42,0,1,0,4,0,0,0,0,1
9,10,Electronics/appliances/semiconductor/instrumentation,200,1,0,1,15,6,0,0,0,7
10,11,Finance/auditing/tax,237,0,3,2,74,7,0,0,0,12
11,12,Engineering/machinery/energy,366,0,0,16,16,20,0,0,0,12
12,13,HR,153,0,3,0,26,6,0,0,0,15
13,14,Senior management,11,0,0,0,4,6,0,0,0,1
14,15,Logistics/warehousing,121,1,15,1,4,1,0,0,0,24
15,16,Art/graphics/Animation design,143,0,0,15,19,0,0,0,0,12
16,17,Science & Technology,50,0,0,0,0,2,0,0,0,1
17,18,Legal profession/law,8,0,0,0,0,0,0,0,0,4
18,19,Education,99,0,0,0,7,2,0,0,0,0
19,20,Hospital/medical/care,74,0,0,2,4,0,0,0,0,0
20,21,Counsel/consulting,102,0,0,0,13,14,0,0,0,3
21,22,Transportation service,133,0,4,0,0,0,0,0,0,11
22,23,Translation,6,0,0,0,0,2,0,0,0,0
23,24,Construction/infrastructure/gardening,423,2,0,6,33,14,0,0,0,8
24,25,Banking,266,0,0,6,3,0,0,0,0,0
25,26,Office administration/logistics,321,1,17,5,51,17,0,0,0,37
26,27,Customer service and technical support,983,0,24,10,27,0,0,0,0,7
27,28,Securities/finance/investment,36,0,0,0,5,0,0,0,0,0
28,29,Insurance,237,0,0,0,23,7,0,0,0,0
29,30,Production/operation,194,0,0,0,9,3,0,0,0,13
30,31,QMS/safety/environmental protection,45,0,4,1,15,2,0,0,0,0
31,32,Technical work,798,13,15,9,2,0,0,0,0,56
32,33,Fashion/textile/furs,2,0,0,2,0,0,0,0,0,0
33,34,Procurement,8,0,0,0,3,0,0,0,0,0
34,35,Trade,48,0,0,0,8,3,0,0,0,1
35,36,Biology/chemicals/pharmaceuticals/medical equipment,43,0,0,0,2,2,2,0,0,3
36,37,Advertising,4,0,0,0,2,0,0,0,0,0
37,38,PRs and news media,10,0,0,0,3,0,0,0,0,1
38,39,"Movies, TV and recreation",46,0,0,0,6,0,0,0,0,0
39,40,Literature/screenwriting/writing,15,0,0,0,1,8,0,0,0,0
40,41,Real property,526,0,0,0,1,0,0,0,0,16
41,42,Property management,170,1,8,0,0,0,0,0,0,29
42,43,Restaurants & recreation,956,6,9,4,4,0,0,0,0,91
43,44,Hotels/tourism,74,1,4,0,9,2,0,0,0,10
44,45,Beauty and personal care,4,0,0,1,0,2,0,0,0,0
45,46,General merchandise/chains/retail,329,1,8,2,3,0,0,0,0,2
46,47,Security/housekeeping/other,310,0,0,0,0,0,0,0,0,19
47,48,Graduates,202,0,0,0,8,5,0,0,0,8
48,49,Other,731,13,4,3,36,9,0,0,0,29
