,s/n,Sector,Total demands,Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
0,1,,1692,0,24,12,126,8,0,0,0,48
1,2,Computer software ,14,0,0,0,2,1,0,0,0,4
2,3,Sales management,1220,3,18,8,88,6,0,0,0,69
3,4,market/marketing,1411,7,16,7,90,8,0,0,0,56
4,5,Sales ,2243,7,33,18,116,2,0,0,0,79
5,6,Computer hardware,10,0,1,0,0,2,0,0,0,0
6,7,Internet development and application,56,0,2,0,17,1,0,0,0,6
7,8,IT-Management,14,0,0,0,5,0,0,0,0,1
8,9,"IT-QM, technical support and more",21,0,0,0,8,1,0,0,0,0
9,10,Communications technology,2,0,0,0,0,2,0,0,0,0
10,11,Electronics/appliances/semiconductor/instrumentation,301,0,6,5,28,8,0,0,0,2
11,12,Finance/auditing/tax,338,0,0,0,110,19,0,0,0,34
12,13,Engineering/machinery/energy,574,0,8,4,78,21,0,0,0,19
13,14,HR,369,0,0,0,84,7,0,0,0,33
14,15,Senior management,18,0,0,8,2,3,0,0,0,4
15,16,Logistics/warehousing,405,7,13,15,32,2,0,0,0,41
16,17,Art/graphics/Animation design,222,0,3,0,55,4,0,0,0,10
17,18,Science & Technology,28,0,0,0,2,1,1,0,0,2
18,19,Legal profession/law,8,0,0,0,0,0,0,0,0,4
19,20,Education,136,0,0,1,7,20,0,0,0,2
20,21,Hospital/medical/care,45,0,0,2,6,0,0,0,0,4
21,22,Counsel/consulting,426,0,8,1,13,13,0,0,0,3
22,23,Transportation service,124,9,3,1,0,0,0,0,0,21
23,24,Translation,4,0,0,0,2,0,0,0,0,0
24,25,Construction/infrastructure/gardening,766,0,1,6,69,9,0,0,0,10
25,26,Banking,59,1,1,3,3,0,0,0,0,0
26,27,Office administration/logistics,620,0,8,9,111,16,1,0,0,59
27,28,Customer service and technical support,1054,0,13,22,53,2,0,0,0,24
28,29,Securities/finance/investment,36,0,0,0,4,0,0,0,0,1
29,30,Insurance,53,0,0,0,2,4,0,0,0,0
30,31,Production/operation,473,19,9,11,16,0,0,0,0,10
31,32,QMS/safety/environmental protection,204,1,9,10,13,21,0,0,0,10
32,33,Technical work,1393,11,25,23,11,1,0,0,0,80
33,34,Procurement,29,0,0,2,11,1,0,0,0,2
34,35,Trade,40,0,0,1,8,0,0,0,0,2
35,36,Biology/chemicals/pharmaceuticals/medical equipment,317,4,0,4,12,4,0,0,0,4
36,37,Advertising,26,0,0,0,6,4,0,0,0,0
37,38,PRs and news media,46,0,0,4,3,0,0,0,0,0
38,39,"Movies, TV and recreation",28,0,0,0,5,0,0,0,0,0
39,40,Literature/screenwriting/writing,6,0,0,0,2,2,0,0,0,0
40,41,Real property,1367,0,2,0,26,20,0,0,0,22
41,42,Property management,317,0,15,1,8,2,0,0,0,50
42,43,Restaurants & recreation,924,4,16,0,5,0,0,0,0,64
43,44,Hotels/tourism,117,1,3,4,11,0,0,0,0,14
44,45,Beauty and personal care,339,7,5,3,3,0,0,0,0,10
45,46,General merchandise/chains/retail,594,1,31,9,11,0,0,0,0,22
46,47,Security/housekeeping/other,581,4,8,0,6,0,0,0,0,31
47,48,Graduates,740,0,0,0,46,2,0,0,0,12
48,49,Other,1282,24,12,3,45,15,0,0,0,53
